title,manganato,mangadex
"I Fell in Love, so I Tried Livestreaming",True,True
The Grim Reaper Falls In Love With A Human,True,True
Kanan-sama Is Easy as Hell!,True,True
Let's Buy the Land And Cultivate in Different World,True,True
Deatte hito Tsuki de Zecchou Jorei!,True,True
Ogami Tsumiki to Kinichijou.,True,True
I Shaved. Then I Brought a High School Girl Home.,True,True
"Musume Janakute, Watashi (Mama) ga Suki Nano!?",True,True
Senpai ga Urusai Kouhai no Hanashi,True,True
A Story About A Grampa and Granma Returned Back to their Youth.,True,True
Shiotaiou no Sato-san ga Ore ni dake Amai,True,True
Tozaki-san wa Boku ni Dake Tsumetai,True,True
I Want To See You Embarassed,True,True
Sono Bisque Doll wa Koi wo suru,True,True
Kaoru Hana wa Rin to Saku,True,True
Asoko de Hataraku Musubu-san,True,True
"Maou ni Natta node, Dungeon Tsukutte Jingai Musume to Honobono suru",True,True
Time Stop Brave,True,True
Kono Kaisha ni Suki na Hito ga Imasu,True,True
Slave of the Magic Capital's Elite Troops,True,True
Hanging Out With a Gamer Girl,True,True
Gal Yome no Himitsu,True,True
Yancha Gal no Anjou-san,True,True
"Fuufu Ijou, Koibito Miman.",True,True
The Eminence in Shadow,True,True
"Yuusha Party wo Tsuihou Sareta Beast Tamer, Saikyou Shuzoku Nekomimi Shojo to Deau",True,True
Kawaii Joushi o Komarasetai,True,True
My Friend's Little Sister Is Only Annoying to Me,True,True
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",True,True
Acchi Kocchi,True,True
Kemono Jihen,True,True
A Rare Marriage: How to Grill Our Love,True,True
"You Like Me, Don't You?",True,True
Unnamed Memory,True,True
Trinity Seven: 7-Nin no Mahoutsukai,True,True
"Since I’ve Entered the World of Romantic Comedy Manga, I’ll Do My Best to Make the Losing Heroine Happy",True,True
Ichizu de Bitch na Kouhai,True,True
Senpai is Mine,True,False
Ojisama to Neko,True,True
My New Wife is Forcing Herself to Smile,True,True
How to Discipline Shishunki-chan,True,True
The Duke of Death and his Black Maid,True,True
The Tsuntsuntsuntsuntsuntsun tsuntsuntsuntsuntsundere Girl Getting Less and Less Tsun Day by Day,True,True
Shikimori's Not Just a Cutie,True,True
Are You Really Getting Married?,True,True
Yome no Manimani,True,True
Meika-san Can't Conceal Her Emotions,True,True
Kininaru Danshi ni ○○ suru On'nanoko.,True,True
Kubo-san Doesn't Leave Me Be (a Mob),True,True
Hirasaka Hinako ga Ero Kawaii koto wo Ore dake ga Shitteiru,True,True
Aharen-san wa Hakarenai,True,True
"Nana Shimazaki, Looking For Work",True,True
Do You like Fluffy Boobs? Busty Girl Anthology Comic,True,True
Koi wa iikara nemuritai!,True,True
A mother in her 30s like me is alright?,True,True
Saenai Riman to Yankee Joshi Kousei,True,True
The Romcom Where The Childhood Friend Won't Lose!,True,True
Osananajimi ga Zettai ni Makenai Love Comedy,True,True
"Tantei wa Mou, Shindeiru",True,True
Sekai wo Sukuu Tame ni Watashi to Asa Chun Dekimasu ka?,True,True
Lust Geass,True,True
Sex and Dungeon,True,True
My Recently Hired Maid Is Suspicious,True,True
Kono ato mechakucha rabukome shita,True,True
The Twins' Circumstances,True,True
Megami-ryou no Ryoubo-kun.,True,True
Netoge no Yome wa Onnanoko ja Nai to Omotta?,True,True
Ano Oni Kyōshi ga Boku no Ane ni Narundesuka?,True,True
Boku no Kanojo Sensei,True,True
My Company's Small Senpai,True,True
Danchigai,True,True
Horimiya,True,True
The Teacher Can Not Tell Me Love,True,True
Douyara Boku no Hanayome wa Onna Kishidan na you de.,True,True
Fechippuru ~Our Innocent Love~,True,True
Uchi no Hentai Maid ni Osowareteru,True,True
Hajirau Kimi ga Mitainda,True,True
Zannen Jokanbu Black General-san,True,True
Wotaku ni Koi wa Muzukashii,True,True
Ane Naru Mono,True,True
"Yoko-san, Sugari Yoru.",True,True
The Results From When I Time Leaped to My Second Year of High School and Confessed to the Teacher I Liked at the Time,True,True
Kono Sekai wa Tsuite iru,True,True
Sakurai-san Wants To Be Noticed,True,True
Jaku-chara Tomozaki-kun,True,True
Maou-sama to Kekkonshitai (Serialization),True,True
Do You like Big Juniors?,True,True
Roaming The Apocalypse With My Shiba Inu,True,False
Maou no Hajimekata,True,True
Futari Ashitamo Sorenarini,True,True
Mofu O Neesan No Atatame-kata,True,False
Sekimen Shinaide Sekime-san,True,True
Koibito wa Oni no Hime,True,True
Orenchi no Maid-san,True,True
Act-Age,True,True
"Today Once Again, the Assassin Cannot Win Against the Girl He Picked Up!",True,True
Climax Exorcism With A Single Touch!,True,True
Lilia Pregnant The World End,True,True
Amagami-san Chi no Enmusubi,True,True
Wolf-chan wa Sumashitai,True,True
Goddess Café Terrace,True,True
Shuumatsu no Hanayome-sama ~sweet home†melty life~,True,True
Tokimori-san ga Muboubi desu!!,True,True
2.5D Seduction,True,True
"Ore Igai Dare mo Saishu Dekinai Sozai na no ni ""Sozai Saishuritsu ga Hikui"" to Pawahara suru Osananajimi Renkinjutsushi to Zetsuen shita Senzoku Madoushi, Henkyou no Machi de Slow Life wo Okuritai.",True,True
Class de 2 Banme ni Kawaii Onna no Ko to Tomodachi ni Natta,True,True
Sousou no Frieren,True,True
Oroka na Tenshi wa Akuma to Odoru,True,True
Saint Cecilia & Pastor Lawrence,True,True
Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou,True,True
Ore wa Azatoi o Yurusanai,True,True
○○na Maid-san,True,True
Until the Tall Kouhai (♀) and the Short Senpai (♂) Relationship Develops Into Romance,True,True
Alya Sometimes Hides Her Feelings in Russian,True,True
The Angel Next Door Spoils Me Rotten,True,True
"Haite Kudasai, Takamine San",True,True
The World of Otome Games is Tough for Mobs,True,True
Pseudo Harem,True,True
Doya Kawaunchiku Kanojo-chan,True,True
Teihen Ryoushu No Kanchigai Eiyuutan,True,True
Kimi wa Meido-sama,True,True
"When I Rescued a Beautiful Girl Who Was About to Be Mol*sted, It Was My Childhood Friend Sitting Next to Me",True,False
Goblin Slayer,True,True
Arifureta Shokugyou de Sekai Saikyou,True,True
MOMO: The Blood Taker,True,True
Hachigatsu Kokonoka Boku wa Kimi ni Kuwareru.,True,True
Ice Guy and the Cool Female Colleague,True,True
"Fukushuu o Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou Suru",True,True
"Uragirareta S Rank Boukensha no Ore wa, Aisuru Dorei no Kanojora to Tomoni Dorei dake no Harem Guild o Tsukuru",True,True
"The World Is Full of Monsters Now, Therefor I Want to Live As I Wish",True,True
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",True,True
Mone-san no Majime Sugiru Tsukiaikata,True,True
No Filter x No Confidence,True,True
Could You Turn Three Perverted Sisters Into Fine Brides?,True,True
Boku wa Ayashii Kimi no Mono,True,True
The Galaxy Next Door,True,True
"There's No Way a Side Character Like Me Could Be Popular, Right?",True,True
Necromance,True,True
Senpai! Lets Have an Office Romance ♪,True,True
A Kind World,True,True
